INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Alabama A & M University,Normal,AL,4,1,0,0.8986,957,4990,0.0088,0.164300203,0.852793471,0.365828092,1,0.7057
University of Alabama at Birmingham,Birmingham,AL,4,1,0,0.9211,1220,13186,0.0334,0.431328036,0.624930129,0.341223671,1,0.3788
Amridge University,Montgomery,AL,4,2,0,NULL,NULL,351,0.0171,0.163865546,0.864864865,0.5125,1,1
University of Alabama in Huntsville,Huntsville,AL,4,1,0,0.8087,1314,7458,0.0528,0.44207723,0.557136877,0.310132159,1,0.2707
Alabama State University,Montgomery,AL,4,1,0,0.9774,972,3903,0.0095,0.139423077,0.874600639,0.343434343,1,0.7792
The University of Alabama,Tuscaloosa,AL,4,1,0,0.5906,1252,32177,0.0499,0.499052133,0.452631579,0.225712689,1,0.1656
Central Alabama Community College,Alexander City,AL,2,1,0,NULL,NULL,1211,0.0239,0.185385656,0.869158879,0.549676026,2,0.5817
Athens State University,Athens,AL,4,1,0,NULL,NULL,2732,0.0311,0.420584498,0.720703125,0.477496484,1,NULL
Auburn University at Montgomery,Montgomery,AL,4,1,0,0.9281,1084,4529,0.0117,0.336099585,0.72575906,0.38189609,1,0.5183
Auburn University,Auburn,AL,4,1,0,0.7543,1289,24147,0.0342,0.628310502,0.436294971,0.172647119,1,0.1409
Birmingham-Southern College,Birmingham,AL,3,2,0,0.5666,1232,1265,0.0213,0.690476191,0.466063348,0.172494173,1,0.2665
Chattahoochee Valley Community College,Phenix City,AL,2,1,0,NULL,NULL,1446,0.0595,0.259803922,0.923931624,0.430267062,2,0.6848
South University-Montgomery,Montgomery,AL,4,3,0,NULL,NULL,321,0.0187,0.180205694,0.777257904,0.472288337,1,0.75
Enterprise State Community College,Enterprise,AL,2,1,0,NULL,NULL,1269,0.0583,0.354120267,0.872037915,0.421891605,2,0.5882
Coastal Alabama Community College,Bay Minette,AL,2,1,0,NULL,NULL,5494,0.0346,0.296500921,0.790082142,0.43511965,2,0.4776
Faulkner University,Montgomery,AL,4,2,0,0.5227,1069,2079,0.0178,0.217046581,0.777463194,0.430031949,1,0.5475
Gadsden State Community College,Gadsden,AL,2,1,0,NULL,NULL,4147,0.0388,NULL,PrivacySuppressed,0.514954486,2,0.6509
New Beginning College of Cosmetology,Albertville,AL,1,3,0,NULL,NULL,83,0.1566,0.428571429,PrivacySuppressed,0.5,3,0.8077
George C Wallace Community College-Dothan,Dothan,AL,2,1,0,NULL,NULL,3746,0.036,NULL,PrivacySuppressed,0.485153765,2,0.6298
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,0,NULL,NULL,4569,0.0512,0.377526754,0.811128284,0.498813157,2,0.5763
George C Wallace State Community College-Selma,Selma,AL,2,1,0,NULL,NULL,1104,0.0063,NULL,PrivacySuppressed,0.512588117,2,0.8947
Herzing University-Birmingham,Birmingham,AL,4,2,0,0.95,NULL,544,0.0184,0.230616302,0.820344958,0.520903265,1,1
Huntingdon College,Montgomery,AL,3,2,0,0.5841,1100,1078,0.0557,0.388679245,0.628698225,0.3456,1,0.4456
Heritage Christian University,Florence,AL,4,2,0,NULL,NULL,49,0.0816,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,0
J. F. Drake State Community and Technical College,Huntsville,AL,2,1,0,NULL,NULL,678,0.0236,NULL,PrivacySuppressed,0.589965398,2,0.8778
J F Ingram State Technical College,Deatsville,AL,1,1,0,NULL,NULL,443,0.0135,NULL,PrivacySuppressed,0.491803279,2,0.203
Jacksonville State University,Jacksonville,AL,4,1,0,0.543,1135,6394,0.0084,0.337164751,0.690222985,0.36377025,1,0.4404
Jefferson State Community College,Birmingham,AL,2,1,0,NULL,NULL,6937,0.0529,0.40201005,0.781962339,0.450290778,2,0.5331
John C Calhoun State Community College,Tanner,AL,2,1,0,NULL,NULL,8270,0.0643,0.314997405,0.795511793,0.455343703,2,0.4543
Judson College,Marion,AL,3,2,0,0.482,1054,259,0.0232,0.367088608,0.812967581,0.413793103,1,0.6
